variable,type,definition,category
gap_count_univ_fede_software,int,Directional skill-gap count: number of university-RCA>1 skills for which the federal/public lab sector does NOT have RCA>1 over software skills only; an inventory of the university sector's specializations that the federal/public lab sector lacks.,J. Employer-pair skill similarity
gap_count_univ_fede_common,int,Directional skill-gap count: number of university-RCA>1 skills for which the federal/public lab sector does NOT have RCA>1 over common-soft skills only; an inventory of the university sector's specializations that the federal/public lab sector lacks.,J. Employer-pair skill similarity
gap_relatedness_univ_fede,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between the gap skills (defined in gap_count) and the federal/public lab-sector's RCA>1 portfolio over all skills (specialized + software + common); range [0,1]; how close the university-only skills are to the federal/public lab sector's current strengths.",J. Employer-pair skill similarity
gap_relatedness_univ_fede_specialized,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between the gap skills (defined in gap_count) and the federal/public lab-sector's RCA>1 portfolio over specialized skills only; range [0,1]; how close the university-only skills are to the federal/public lab sector's current strengths.",J. Employer-pair skill similarity
gap_relatedness_univ_fede_software,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between the gap skills (defined in gap_count) and the federal/public lab-sector's RCA>1 portfolio over software skills only; range [0,1]; how close the university-only skills are to the federal/public lab sector's current strengths.",J. Employer-pair skill similarity
gap_relatedness_univ_fede_common,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between the gap skills (defined in gap_count) and the federal/public lab-sector's RCA>1 portfolio over common-soft skills only; range [0,1]; how close the university-only skills are to the federal/public lab sector's current strengths.",J. Employer-pair skill similarity
cosine_univ_gove,"float [0,1]","Cosine similarity between university-sector and government-sector skill-frequency vectors over all skills; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_univ_gove_specialized,"float [0,1]","Cosine similarity between university-sector and government-sector skill-frequency vectors over specialized skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_univ_gove_software,"float [0,1]","Cosine similarity between university-sector and government-sector skill-frequency vectors over software skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_univ_gove_common,"float [0,1]","Cosine similarity between university-sector and government-sector skill-frequency vectors over common skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
jaccard_univ_gove,"float [0,1]","Jaccard index over the university-RCA>1 and government-RCA>1 skill sets over all skills: |intersection| / |union|; range [0,1]; higher = greater overlap.",J. Employer-pair skill similarity
jaccard_univ_gove_specialized,"float [0,1]","Jaccard index over the university-RCA>1 and government-RCA>1 skill sets over specialized skills only: |intersection| / |union|; range [0,1]; higher = greater overlap.",J. Employer-pair skill similarity
jaccard_univ_gove_software,"float [0,1]","Jaccard index over the university-RCA>1 and government-RCA>1 skill sets over software skills only: |intersection| / |union|; range [0,1]; higher = greater overlap.",J. Employer-pair skill similarity
jaccard_univ_gove_common,"float [0,1]","Jaccard index over the university-RCA>1 and government-RCA>1 skill sets over common skills only: |intersection| / |union|; range [0,1]; higher = greater overlap.",J. Employer-pair skill similarity
hidalgo_univ_gove,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between university-RCA>1 and government-RCA>1 skills over all skills, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_univ_gove_specialized,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between university-RCA>1 and government-RCA>1 skills over specialized skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_univ_gove_software,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between university-RCA>1 and government-RCA>1 skills over software skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_univ_gove_common,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between university-RCA>1 and government-RCA>1 skills over common skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
rca_overlap_univ_gove,float,Weighted RCA overlap: average government-sector RCA across the university-sector RCA>1 skill set over all skills; higher values indicate the university sector demands skills that the government sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_univ_gove_specialized,float,Weighted RCA overlap: average government-sector RCA across the university-sector RCA>1 skill set over specialized skills only; higher values indicate the university sector demands skills that the government sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_univ_gove_software,float,Weighted RCA overlap: average government-sector RCA across the university-sector RCA>1 skill set over software skills only; higher values indicate the university sector demands skills that the government sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_univ_gove_common,float,Weighted RCA overlap: average government-sector RCA across the university-sector RCA>1 skill set over common skills only; higher values indicate the university sector demands skills that the government sector already specializes in.,J. Employer-pair skill similarity
gap_count_univ_gove,int,Directional skill-gap count: number of university-RCA>1 skills for which the government sector does NOT have RCA>1 over all skills; inventory of the university sector's specializations that the government sector lacks.,J. Employer-pair skill similarity
gap_count_univ_gove_specialized,int,Directional skill-gap count: number of university-RCA>1 skills for which the government sector does NOT have RCA>1 over specialized skills only; inventory of the university sector's specializations that the government sector lacks.,J. Employer-pair skill similarity
gap_count_univ_gove_software,int,Directional skill-gap count: number of university-RCA>1 skills for which the government sector does NOT have RCA>1 over software skills only; inventory of the university sector's specializations that the government sector lacks.,J. Employer-pair skill similarity
gap_count_univ_gove_common,int,Directional skill-gap count: number of university-RCA>1 skills for which the government sector does NOT have RCA>1 over common skills only; inventory of the university sector's specializations that the government sector lacks.,J. Employer-pair skill similarity
gap_relatedness_univ_gove,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between gap skills and the government-sector's RCA>1 portfolio over all skills; range [0,1].",J. Employer-pair skill similarity
gap_relatedness_univ_gove_specialized,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between gap skills and the government-sector's RCA>1 portfolio over specialized skills only; range [0,1].",J. Employer-pair skill similarity
gap_relatedness_univ_gove_software,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between gap skills and the government-sector's RCA>1 portfolio over software skills only; range [0,1].",J. Employer-pair skill similarity
gap_relatedness_univ_gove_common,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between gap skills and the government-sector's RCA>1 portfolio over common skills only; range [0,1].",J. Employer-pair skill similarity
cosine_fede_gove,"float [0,1]","Cosine similarity between federal lab-sector and government-sector skill-frequency vectors over all skills; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_fede_gove_specialized,"float [0,1]","Cosine similarity between federal lab-sector and government-sector skill-frequency vectors over specialized skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_fede_gove_software,"float [0,1]","Cosine similarity between federal lab-sector and government-sector skill-frequency vectors over software skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_fede_gove_common,"float [0,1]","Cosine similarity between federal lab-sector and government-sector skill-frequency vectors over common skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
jaccard_fede_gove,"float [0,1]","Jaccard index over the federal lab-RCA>1 and government-RCA>1 skill sets over all skills: |intersection| / |union|; range [0,1]; higher = greater overlap.",J. Employer-pair skill similarity
jaccard_fede_gove_specialized,"float [0,1]","Jaccard index over the federal lab-RCA>1 and government-RCA>1 skill sets over specialized skills only: |intersection| / |union|; range [0,1]; higher = greater overlap.",J. Employer-pair skill similarity
jaccard_fede_gove_software,"float [0,1]","Jaccard index over the federal lab-RCA>1 and government-RCA>1 skill sets over software skills only: |intersection| / |union|; range [0,1]; higher = greater overlap.",J. Employer-pair skill similarity
jaccard_fede_gove_common,"float [0,1]","Jaccard index over the federal lab-RCA>1 and government-RCA>1 skill sets over common skills only: |intersection| / |union|; range [0,1]; higher = greater overlap.",J. Employer-pair skill similarity
hidalgo_fede_gove,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between federal lab-RCA>1 and government-RCA>1 skills over all skills, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_fede_gove_specialized,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between federal lab-RCA>1 and government-RCA>1 skills over specialized skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_fede_gove_software,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between federal lab-RCA>1 and government-RCA>1 skills over software skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_fede_gove_common,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between federal lab-RCA>1 and government-RCA>1 skills over common skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
rca_overlap_fede_gove,float,Weighted RCA overlap: average government-sector RCA across the federal lab-sector RCA>1 skill set over all skills; higher values indicate the federal lab sector demands skills that the government sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_fede_gove_specialized,float,Weighted RCA overlap: average government-sector RCA across the federal lab-sector RCA>1 skill set over specialized skills only; higher values indicate the federal lab sector demands skills that the government sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_fede_gove_software,float,Weighted RCA overlap: average government-sector RCA across the federal lab-sector RCA>1 skill set over software skills only; higher values indicate the federal lab sector demands skills that the government sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_fede_gove_common,float,Weighted RCA overlap: average government-sector RCA across the federal lab-sector RCA>1 skill set over common skills only; higher values indicate the federal lab sector demands skills that the government sector already specializes in.,J. Employer-pair skill similarity
gap_count_fede_gove,int,Directional skill-gap count: number of federal lab-RCA>1 skills for which the government sector does NOT have RCA>1 over all skills; inventory of the federal lab sector's specializations that the government sector lacks.,J. Employer-pair skill similarity
gap_count_fede_gove_specialized,int,Directional skill-gap count: number of federal lab-RCA>1 skills for which the government sector does NOT have RCA>1 over specialized skills only; inventory of the federal lab sector's specializations that the government sector lacks.,J. Employer-pair skill similarity
gap_count_fede_gove_software,int,Directional skill-gap count: number of federal lab-RCA>1 skills for which the government sector does NOT have RCA>1 over software skills only; inventory of the federal lab sector's specializations that the government sector lacks.,J. Employer-pair skill similarity
gap_count_fede_gove_common,int,Directional skill-gap count: number of federal lab-RCA>1 skills for which the government sector does NOT have RCA>1 over common skills only; inventory of the federal lab sector's specializations that the government sector lacks.,J. Employer-pair skill similarity
gap_relatedness_fede_gove,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between gap skills and the government-sector's RCA>1 portfolio over all skills; range [0,1].",J. Employer-pair skill similarity
gap_relatedness_fede_gove_specialized,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between gap skills and the government-sector's RCA>1 portfolio over specialized skills only; range [0,1].",J. Employer-pair skill similarity
gap_relatedness_fede_gove_software,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between gap skills and the government-sector's RCA>1 portfolio over software skills only; range [0,1].",J. Employer-pair skill similarity
gap_relatedness_fede_gove_common,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between gap skills and the government-sector's RCA>1 portfolio over common skills only; range [0,1].",J. Employer-pair skill similarity
corp_churning_entries,int,Skills that crossed into RCA>1 in the corporate (private-sector non-univ/lab/gov/staffing)-sector skill pool this year vs. prior year.,K. Per-employer-type skill dynamics
corp_churning_exits,int,Skills that fell below RCA>1 in the corporate (private-sector non-univ/lab/gov/staffing)-sector skill pool this year vs. prior year.,K. Per-employer-type skill dynamics
corp_churning_net,int,Net change in corporate (private-sector non-univ/lab/gov/staffing)-sector RCA>1 breadth between consecutive years (entries minus exits).,K. Per-employer-type skill dynamics
corp_cosine_distance,"float [0,1]","1 - cosine(skill-frequency vector of corporate (private-sector non-univ/lab/gov/staffing)-sector postings at t-1, t); structural change in the corporate (private-sector non-univ/lab/gov/staffing)-sector skill demand profile between consecutive years. Note: noisy in county-years with low corporate (private-sector non-univ/lab/gov/staffing)-sector posting counts.",K. Per-employer-type skill dynamics
univ_churning_entries,int,Skills that crossed into RCA>1 in the university-sector skill pool this year vs. prior year.,K. Per-employer-type skill dynamics
univ_churning_exits,int,Skills that fell below RCA>1 in the university-sector skill pool this year vs. prior year.,K. Per-employer-type skill dynamics
univ_churning_net,int,Net change in university-sector RCA>1 breadth between consecutive years (entries minus exits).,K. Per-employer-type skill dynamics
univ_cosine_distance,"float [0,1]","1 - cosine(skill-frequency vector of university-sector postings at t-1, t); structural change in the university-sector skill demand profile between consecutive years. Note: noisy in county-years with low university-sector posting counts.",K. Per-employer-type skill dynamics
fede_churning_entries,int,Skills that crossed into RCA>1 in the federal/public lab-sector skill pool this year vs. prior year.,K. Per-employer-type skill dynamics
fede_churning_exits,int,Skills that fell below RCA>1 in the federal/public lab-sector skill pool this year vs. prior year.,K. Per-employer-type skill dynamics
fede_churning_net,int,Net change in federal/public lab-sector RCA>1 breadth between consecutive years (entries minus exits).,K. Per-employer-type skill dynamics
fede_cosine_distance,"float [0,1]","1 - cosine(skill-frequency vector of federal/public lab-sector postings at t-1, t); structural change in the federal/public lab-sector skill demand profile between consecutive years. Note: noisy in county-years with low federal/public lab-sector posting counts.",K. Per-employer-type skill dynamics
gove_churning_entries,int,Skills that crossed into RCA>1 in the government-sector skill pool this year vs. prior year.,K. Per-employer-type skill dynamics
gove_churning_exits,int,Skills that fell below RCA>1 in the government-sector skill pool this year vs. prior year.,K. Per-employer-type skill dynamics
gove_churning_net,int,Net change in government-sector RCA>1 breadth between consecutive years (entries minus exits).,K. Per-employer-type skill dynamics
gove_cosine_distance,"float [0,1]","1 - cosine(skill-frequency vector of government-sector postings at t-1, t); structural change in the government-sector skill demand profile between consecutive years. Note: noisy in county-years with low government-sector posting counts.",K. Per-employer-type skill dynamics
